BIO Studiestart,5000 - Det Natur- og Biovidenskabelige Fakultet,%23SPLUS80970B
4781-E17;HIS 57. Historisk samfundsanalyse og videnskabsteori,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70258
4821-E17;FRA Fransk kultur og samfund,"4821 - Institut for Engelsk, Germansk og Romansk",70260
4821-E17;FRA Aktuel fransk sprogbrug og sprogbevidsthed,"4821 - Institut for Engelsk, Germansk og Romansk",70261
4821-E17;FRA KATV Fremmedsprogstilegnelse og interkulturel kompetence,"4821 - Institut for Engelsk, Germansk og Romansk",70262
4821-E17;FRA KATV Fransk sprog i et norm- og variationsperspektiv,"4821 - Institut for Engelsk, Germansk og Romansk",70263
4821-E17;FRA Sprog og sprogproduktion i kontrastivt perspektiv,"4821 - Institut for Engelsk, Germansk og Romansk",70264
4821-E17;FRA Fransk Litteratur,"4821 - Institut for Engelsk, Germansk og Romansk",70265
4821-E17;ITA OversÃ¦ttelse italiensk-dansk og dansk-italiensk,"4821 - Institut for Engelsk, Germansk og Romansk",70267
4821-E17;ITA KA emne 1,"4821 - Institut for Engelsk, Germansk og Romansk",70268
4821-E17;ITA KA emne 2,"4821 - Institut for Engelsk, Germansk og Romansk",70269
4821-E17;POR PropÃ¦deutik 1,"4821 - Institut for Engelsk, Germansk og Romansk",70273
4821-E17;POR Introduktion til omrÃ¥destudier,"4821 - Institut for Engelsk, Germansk og Romansk",70274
4821-E17;POR BATV Introduktion til omrÃ¥destudier,"4821 - Institut for Engelsk, Germansk og Romansk",70275
4821-E17;POR Introduktion til den portugisisktalende verden,"4821 - Institut for Engelsk, Germansk og Romansk",70276
4821-E17;POR BATV Introduktion til den portugisisktalende verden,"4821 - Institut for Engelsk, Germansk og Romansk",70277
4821-E17;POR Diskurs og identitet,"4821 - Institut for Engelsk, Germansk og Romansk",70278
4821-E17;POR Kommunikativ grammatik,"4821 - Institut for Engelsk, Germansk og Romansk",70279
4821-E17;POR Det portugisiske samfund: Debatter og stemmer,"4821 - Institut for Engelsk, Germansk og Romansk",70280
"4821-E17;POR Film, medier og kunst pÃ¥ portugisisk i en globaliseret verden","4821 - Institut for Engelsk, Germansk og Romansk",70281
4821-E17;POR Stemmer i litteratur og kultur i Portugal og Brasilien,"4821 - Institut for Engelsk, Germansk og Romansk",70282
4821-E17;POR Professionsrettet kommunikation i portugisisk,"4821 - Institut for Engelsk, Germansk og Romansk",70283
"4821-E17;POR OmrÃ¥destudie-seminar om sprog, diskurs og samfund","4821 - Institut for Engelsk, Germansk og Romansk",70284
4821-E17;POR Kommunikativ oversÃ¦ttelse,"4821 - Institut for Engelsk, Germansk og Romansk",70285
4821-E17;POR Bachelorprojekt,"4821 - Institut for Engelsk, Germansk og Romansk",70286
4821-E17;POR Globale udfordringer for den portugisisktalende verden,"4821 - Institut for Engelsk, Germansk og Romansk",70287
4821-E17;POR Tilvalg B i portugisiske og brasilianske studier,"4821 - Institut for Engelsk, Germansk og Romansk",70288
4781-E17;KL.GR. GrÃ¦sk 1,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70312
4781-E17;LAT. Latin 1,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70313
4721-E17;AUD Studiegrupper/Studieteknik,4721 - Institut for Nordiske Studier og Sprogvidenskab,74675
4721-E17;LINGO Studiegrupper/Studieteknik,4721 - Institut for Nordiske Studier og Sprogvidenskab,74676
Folkeuni-E1043;FYSIK - News from the Niels Bohr International Academy (B),SCI-Folkeuniversitetet,%23SPLUSF46DA3
3934-B5-5F17;Innovating Solutions for Aging Populations,3934 - BSc + MSc Folkesundhedsvidenskab,69991
3932-B5-5F17;Transitions in Urban Living: From Global to Local using the Municipality of Copenhagen as a Case,3932 - Global Sundhed,69992
3932-B5-5F17;Summer School. Humanitarian Action in the 21st Century: An introduction,3932 - Global Sundhed,69993
3932-B5-5F17;Summer school in Arctic Health,3932 - Global Sundhed,69994
3932-B5-5F17;Cross-disciplinary Health Research Field course in Sri Lanka,3932 - Global Sundhed,69995
3915-B5-5F17;One Health International Summer Course,3915 - BSc + MSc VeterinÃ¦r Medicin,70003
2400-Rusudvalg Antro,2400 - Institut for antropologi,%23SPLUSABD2AE
3300-Tutorerne FSV,3300 - Institut for Folkesundhed,%23SPLUS361607
1265-E17;Africa and Globalisation: Linking and Delinking Practices in Perspective,1265 - StudienÃ¦vnet for Afrikastudier,73655
2300-F18;Udbud: Komparativ politik 1.,2300 - Institut for Statskundskab,75185
2300-F18;Udbud: Komparativ politik 1.,2300 - Institut for Statskundskab,75193
2400-E17;Antropologi I,2400 - Institut for antropologi,74315
2400-E17;Digitale studietekniske redskaber.,2400 - Institut for antropologi,70058
2600-E17;BA valgfag: Feedback Informed Treatment  (FIT),2600 - Institut for Psykologi 2600,70059
2600-E17;BA Social psychological theory,2600 - Institut for Psykologi 2600,70060
2600-E17;BA Valgfag: The feeling of being,2600 - Institut for Psykologi 2600,70061
2600-E17;BA Socialpsykologi Teori og metode,2600 - Institut for Psykologi 2600,70062
2600-E17;BA PÃ¦dagogisk psykologi,2600 - Institut for Psykologi 2600,70063
2600-E17;BA Valgfag: Psykologiformidling,2600 - Institut for Psykologi 2600,70064
2600-E17;BA Klinisk Psykologi,2600 - Institut for Psykologi 2600,70065
2600-E17;BA Kognitionspsykologi teori og metode,2600 - Institut for Psykologi 2600,70066
2600-E17;BA Bachelorprojekt,2600 - Institut for Psykologi 2600,70067
2600-E17;BA Psykiatri,2600 - Institut for Psykologi 2600,70068
2600-E17;BA Forskningsdesign og Videnskabsteori,2600 - Institut for Psykologi 2600,70069
2600-E17;BA Statistik I,2600 - Institut for Psykologi 2600,70070
2600-E17;BA Biologisk psykologi og neuropsykologi,2600 - Institut for Psykologi 2600,70072
"2600-E17;BA Valgfag: Culture, Communication and Learning.",2600 - Institut for Psykologi 2600,70073
2600-E17;BA Valgfag: Psychosocial Job Stress and Chronic Disease,2600 - Institut for Psykologi 2600,70074
2600-E17;BAT Socialpsykologi teori og metode,2600 - Institut for Psykologi 2600,70075
2600-E17;BA valgfag: Krise og katastrofepsykologi,2600 - Institut for Psykologi 2600,70076
2600-E17;BA Valgfag: Krop og psyke,2600 - Institut for Psykologi 2600,70077
4781-E17;F.ARK ArkÃ¦ologisk periodekursus 1 (Ark. i DK og Nordeuropa 1),"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70078
4781-E17;F. ARK ArkÃ¦ologisk periodekursus 3 ( Ark. i DK og Noreuropa 3),"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70079
4781-E17;KL. ARK ArkÃ¦ologisk periodekursus 3 (Romersk ArkÃ¦ologi),"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70080
2600-E17;KA Psykologisk testning,2600 - Institut for Psykologi 2600,70081
"2600-E17;KA Social udviklings- og integrationspsykologi, Seminarhold.",2600 - Institut for Psykologi 2600,70082
"2600-E17;KA Social udviklings- og integrationspsykologi, Praksishold",2600 - Institut for Psykologi 2600,70083
2600-E17;KA Discourse Analysis,2600 - Institut for Psykologi 2600,70084
"2600-E17;KA Discourse Analysis, valgfag",2600 - Institut for Psykologi 2600,70085
2600-E17;KA Projektorienteret forlÃ¸b,2600 - Institut for Psykologi 2600,70086
"2600-E17;KA Arbejds- og organisationspsykologi, Praksishold.",2600 - Institut for Psykologi 2600,70087
"2600-E17;KA Klinisk psykologi, VideregÃ¥rende anvendt teori og metode",2600 - Institut for Psykologi 2600,70088
"2600-E17;KA Klinisk psykologi, Seminarhold.",2600 - Institut for Psykologi 2600,70089
"2600-E17;KA Klinisk psykologi, Praksishold.",2600 - Institut for Psykologi 2600,70090
2600-E17;KA-fordybelsesfag: Feedback Informed Treatment  (FIT),2600 - Institut for Psykologi 2600,70093
"2600-E17;KA Social udviklings- og integrationspsykologi, Seminarhold som valgfag.",2600 - Institut for Psykologi 2600,70095
"2600-E17;KA Neuropsykologi, Seminarhold som valgfag.",2600 - Institut for Psykologi 2600,70096
"2600-E17;KA Klinisk psykologi, Seminarhold som valgfag.",2600 - Institut for Psykologi 2600,70097
2600-E17;KA-Fordybelsesfag: The feeling of being.,2600 - Institut for Psykologi 2600,70098
"2600-E17;KA Arbejds- og organisationspsykologi, Seminarhold som valgfag.",2600 - Institut for Psykologi 2600,70099
"2600-E17;KA Arbejds- og organisationspsykologi, Seminarhold.",2600 - Institut for Psykologi 2600,70100
"2600-E17;KA Arbejds- og organisationspsykologi, VideregÃ¥rende anvendt teori og metode.",2600 - Institut for Psykologi 2600,70101
"2600-E17;KA Neuropsykologi, VideregÃ¥rende anvendt teori og metode.",2600 - Institut for Psykologi 2600,70102
"2600-E17;KA Neuropsykologi, Seminarhold.",2600 - Institut for Psykologi 2600,70103
"2600-E17;KA Neuropsykologi, Praksishold.",2600 - Institut for Psykologi 2600,70104
"2600-E17;KA Social udviklings- og integrationspsykologi, VideregÃ¥rende anvendt teori og metode.",2600 - Institut for Psykologi 2600,70105
"2600-E17;KA-Fordybelsesfag: Culture, Communication and Learning.",2600 - Institut for Psykologi 2600,70106
2600-E17;KA-fordybelsesfag: Krop og psyke.,2600 - Institut for Psykologi 2600,70107
4781-E17;F.ARK ArkÃ¦ologisk emnekursus A : Viden og Kunnen,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70108
4781-E17;F. ARK ArkÃ¦ologisk emnekursus B,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70109
4781-E17;KL. ARK Tema 1 - Skulpturer,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70110
2600-E17;KA-fordybelsesfag: Parforholdets Psykologi.,2600 - Institut for Psykologi 2600,70111
"2600-E17;KA-Fordybelsesfag: Staffing Decisions, Work Teams, and Politics in Organizations",2600 - Institut for Psykologi 2600,70112
2600-E17;BA Professionel psykologisk samtaletrÃ¦ning,2600 - Institut for Psykologi 2600,70113
4781-E17;KL.GR. Intro. til studiet af grÃ¦sk og fagets videnskabsteori,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70114
4781-E17;KL.GR. GrÃ¦sk Poesi,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70115
4781-E17;KL.GR. GrÃ¦sk stil,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70116
4781-E17;LAT Introduktion til studiet af Latin og fagets videnskabsteori,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70119
4781-E17;LAT Latinsk stil,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70120
4781-E17;LAT Latinsk poesi,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70121
4781-E17;OLD Frit omrÃ¥de,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70122
2600-F18;BA valgfag: Brain plasticity and neurorehabilitation,2600 - Institut for Psykologi 2600,75275
2600-F18;BA Valgfag: Intimate relationships,2600 - Institut for Psykologi 2600,75276
2300-E17;International politik 1.,2300 - Institut for Statskundskab,70677
2300-E17;Dansk og komparativ politik 1,2300 - Institut for Statskundskab,70678
2300-E17;Introduktion til politologiske problemstillinger.,2300 - Institut for Statskundskab,70679
2300-E17;Politisk teori 1.,2300 - Institut for Statskundskab,70680
2300-E17;Videnskabsteori og metodologi.,2300 - Institut for Statskundskab,70681
4781-F18;HIS 53. KÃ¸benhavnernes historie 1700-1900,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70682
4781-F18;HIS 53. Danske landboforhold 1750 til 1850,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70683
4781-F18;HIS 53. De rige og de fine. Sociale eliter i Danmark 1700-2000,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70684
"4781-F18;HIS 58. Det osmaniske Rige, kristne muslimer og dannelsen af GrÃ¦kenland og Tyrkiet","4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70685
"4781-F18;HIS 58. Religion og frihed, 1500-1750 - et idehistorisk kursus","4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70686
"4781-F18;HIS 58. Slavehandel og slaveri i den atlantiske verden, ca. 1600-1850","4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70687
4781-F18;HIS 58. Sekularisering og protestantisk vÃ¦kkelse i Nordeuropa 1650-1800,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70688
4781-F18;HIS 58. Dansk kongemagt ca. 800-1300,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70689
2300-E17;Democratisation.,2300 - Institut for Statskundskab,70690
"4781-F18;HIS 1005. Det osmaniske Rige, kristne muslimer og dannelsen af GrÃ¦kenland og Tyrkiet","4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70691
"4781-F18;HIS 1005. Religion og frihed, 1500-1750 - et idehistorisk kursus","4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70692
"4781-F18;HIS 1005. Slavehandel og slaveri i den atlantiske verden, ca. 1600-1850","4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70693
4781-F18;HIS 1005. Sekularisering og protestantisk vÃ¦kkelse i Nordeuropa 1650-1800,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70694
4781-F18;HIS 1005. Dansk kongemagt ca. 800-1300,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70695
4781-F18;HIS 1003. BA-tv: Globalhistorie,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70696
4781-F18;HIS 1004. BA-tv: Historiografi,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70697
4781-F18;HIS 74/75. Magt og Dragt,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70698
4781-F18;HIS 74. Rome in the world history of universal empire,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70699
"4781-F18;HIS 74. Forbrugets, forbrugersamfundets og forbrugerismens historie ca. 1700-2000","4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70700
4781-F18;HIS 77. En erindringspolitisk slagmark. Udvalgte episoder i Danmarks historie 1801-1989,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70701
"4781-F18;HIS 77. Organiseret vold som et historisk fÃ¦nomen: Det antikke grÃ¦ske eksempel, 700 - 31 f.Kr.","4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70702
4781-F18;HIS 78. ProjektplanlÃ¦gning,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70703
4781-F18;HIS 79. Madens historie i Danmark set i en global kontekst,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70704
4781-F18;HIS 76. Praktik,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70705
"2300-E17;Geopolitics, Democracy Promotion, or Cultural Identity?",2300 - Institut for Statskundskab,70706
"2300-E17;Diskursanalyse, konflikter og International Politisk Teori",2300 - Institut for Statskundskab,70707
2300-E17;Kan vÃ¦lgerne holde politikerne ansvarlige?,2300 - Institut for Statskundskab,70708
2300-E17;Re-Orientationg International Relations: Asian Perspectives on World Politics.,2300 - Institut for Statskundskab,70709
2300-E17;Climate Science and Politics.,2300 - Institut for Statskundskab,70710
2300-E17;The Tools of Government Revisited: Policy design and instrumentation in the information age.,2300 - Institut for Statskundskab,70711
"2300-E17;The rise of populism: actors, causes and implications.",2300 - Institut for Statskundskab,70712
2300-E17;Impact Evaluation: Estimating the Causal Effects of Policies and Programs,2300 - Institut for Statskundskab,70713
2300-E17;Nye aktÃ¸rer i politik.,2300 - Institut for Statskundskab,70714
2300-E17;Disinformation and Propaganda on Social Media.,2300 - Institut for Statskundskab,70715
4781-F18;HIS 53. By og bogstav (500-300 f.v.t.),"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70716
4781-F18;HIS 54. Globalhistorie,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70717
4781-F18;HIS 55. Historiografi,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70718
4781-F18;HIS 59. Historisk kulturanalyse og videnskabsteori,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70719
4781-F18;ARK ArkÃ¦ologisk udgravning,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70720
4781-F18;F. ARK ArkÃ¦ologisk periodekursus 2,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70721
4781-F18;KL. ARK ArkÃ¦ologisk periodekursus 2 (Kl.-Hellenistisk tid),"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70722
4781-F18;F. ARK ArkÃ¦ologisk periodekursus 4,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70723
4781-F18;KL. ARK ArkÃ¦ologisk periodekursus 4 (Etruskisk ark.),"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70724
4781-F18;KL. ARK Periodekursus 4 (Etruskisk ark.) TLV,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70725
4781-F18;ARK ArkÃ¦ologisk tema A (valgfag): ArkÃ¦ologisk dokumentation og analyse,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70726
4781-F18;ARK ArkÃ¦ologisk tema B (valgfag): kulturhistorisk tema,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70727
4781-F18;ARK EuropÃ¦iske forbindelser,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70728
4781-F18;F. ARK Ba-projekt,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70729
"4781-F18;KL. ARK Ba-projekt, seminar","4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70730
4781-F18;F. ARK Eksperimentel arkÃ¦ologi TLV,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70731
4781-F18;F. ARK ArkÃ¦ologisk praksis TLV,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70732
4781-F18;F. ARK ArkÃ¦ologisk teori TLV,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70733
4781-F18;F. ARK ArkÃ¦ologisk emnekursus A,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70734
4781-F18;F. ARK ArkÃ¦ologisk emnekursus B,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70735
4781-F18;F. ARK ArkÃ¦ologisk tema I,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70736
4781-F18;F. ARK ArkÃ¦ologisk tema II,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70737
4781-F18;F. ARK Projektorienteret forlÃ¸b,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70738
4781-F18;F. ARK Almen arkÃ¦ologisk kundskab,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70739
4781-F18;KL. ARK Tema 1 - Keramik,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70740
4781-F18;KL. ARK Tema 2 - GrÃ¦ske atleter og helligdomme,"4781 - Saxo-Instituttet - ArkÃ¦ologi, Etnologi, Historie og GrÃ¦sk og Latin",70741
2300-E17;Budgetter og regnskaber for virksomheder og offentlige myndigheder.,2300 - Institut for Statskundskab,70742
2300-E17;Xi JinpingÂ´s anti-corruption campaign in China.,2300 - Institut for Statskundskab,70743
2300-E17;Xi JinpingÂ´s anti-corruption campaign in China.,2300 - Institut for Statskundskab,70744
2300-E17;EU social policies and the welfare states,2300 - Institut for Statskundskab,70745
